None 29
None 53
None 47
None 53
None 74
None 58
None 75
None 53
None 49
None 55
None 60
None 64
None 58
None 48
None 51
None 51
None 46
None 54
None 60
None 56
38.5215065 -121.409043167 50
38.521576 -121.4090435 81
38.5216425 -121.409044667 58
38.521708667 -121.409045667 63
38.521773833 -121.409047 82
38.521836167 -121.409048167 63
38.5218975 -121.409049333 78
38.521957167 -121.409050167 53
38.522016 -121.409051167 68
38.522072333 -121.4090515 60
38.522125667 -121.409051833 65
38.5221755 -121.409050333 71
38.522214167 -121.409050167 61
38.522241833 -121.40905 46
38.522261167 -121.409050333 78
38.522275667 -121.4090505 46
38.522284 -121.409050167 71
38.522287167 -121.4090495 63
38.522289333 -121.40905 62
38.522295167 -121.409049 67
38.522303833 -121.409048 70
38.522313167 -121.409047833 54
38.522325167 -121.409048 55
38.522338167 -121.409048167 54
38.522351167 -121.409048667 86
38.522362833 -121.409048 64
38.522370667 -121.4090475 53
38.522375 -121.409046833 59
38.522376 -121.409046833 68
38.522377 -121.409046167 70
38.522377167 -121.409046 77
38.522377833 -121.409045833 68
38.5223785 -121.409046167 56
38.522379333 -121.409046 54
38.522379333 -121.409045667 61
38.522379833 -121.409045 84
38.522379667 -121.409044667 63
38.522381333 -121.409043833 78
38.522381167 -121.409042833 59
38.522382167 -121.409042167 64
38.522382833 -121.409041667 63
38.5223835 -121.409041 59
38.5223835 -121.409040333 63
38.522382667 -121.409040167 82
38.522383667 -121.4090395 57
38.522383833 -121.409038667 67
38.522384 -121.409037333 64
38.522383167 -121.409035833 67
38.522382667 -121.409035667 62
38.522382833 -121.409034833 66
38.522382667 -121.409034167 97
38.522382833 -121.409033833 57
38.522383333 -121.409033667 51
38.522383333 -121.409033333 55
38.5223825 -121.409033333 43
38.522382 -121.409033667 66
38.5223805 -121.409034 52
38.52238 -121.409033333 58
38.5223795 -121.409032833 72
38.522379333 -121.4090325 62
38.5223795 -121.409032167 57
38.522379833 -121.409031833 71
38.5223805 -121.409031333 58
38.522379333 -121.409031333 81
38.522379167 -121.409030833 62
38.522379 -121.409030333 57
38.5223795 -121.409028667 62
38.522378667 -121.4090285 79
38.522377833 -121.4090285 53
38.522376833 -121.409028167 68
38.5223765 -121.4090275 62
38.522376333 -121.409026833 73
38.522376333 -121.409026333 64
38.5223765 -121.409026167 66
38.522376333 -121.409025833 67
38.522376333 -121.409024667 54
38.5223765 -121.409024167 62
38.522376833 -121.409024 47
38.522376667 -121.409024 58
38.5223765 -121.409024167 64
38.522376333 -121.409024333 60
38.522376167 -121.409025 63
38.5223765 -121.409025333 71
38.522377 -121.409025833 66
38.5223765 -121.409026333 65
38.522377333 -121.409026 62
38.522378833 -121.409025167 59
38.5223785 -121.409026167 65
38.522378833 -121.409026667 49
38.522379333 -121.409027333 64
38.522379167 -121.409028333 68
38.5223795 -121.409029167 58
38.5223785 -121.409029 54
38.522377333 -121.409029667 61
38.522377 -121.409029833 63
38.5223775 -121.40903 63
38.522377667 -121.4090295 63
38.522378167 -121.409028167 61
38.522378333 -121.409027 55
38.522378 -121.409026667 64
38.522377667 -121.409026667 58
38.5223775 -121.4090265 58
38.522377167 -121.409027333 68
38.522378667 -121.409027 67
38.522378 -121.409026 65
38.522378 -121.409025667 69
38.522378333 -121.409025333 55
38.5223795 -121.409025333 55
38.522379333 -121.409025167 49
38.52238 -121.409025 62
38.522382 -121.409025167 52
38.522377333 -121.409023833 55
38.522375833 -121.409022833 60
38.522376167 -121.409022167 48
38.522377167 -121.409022333 67
38.522377667 -121.409022167 65
38.5223855 -121.409023167 78
38.522391 -121.409024167 63
38.522394333 -121.409024667 75
38.522394 -121.409024833 55
38.522395667 -121.4090255 74
38.522400833 -121.409026167 61
38.522402667 -121.409026333 48
